S value, N value, MergeSort, InsertionMergeSort, Difference
5, 2, 1, 0, -1
5, 4, 5, 4, -1
5, 8, 16, 14, -2
5, 16, 46, 38, -8
5, 32, 123, 105, -18
5, 64, 313, 293, -20
5, 128, 743, 692, -51
5, 256, 1735, 1620, -115
5, 512, 3948, 3742, -206
5, 1024, 8965, 8535, -430
5, 2048, 19920, 19112, -808
5, 4096, 43918, 42224, -1694
5, 8192, 96180, 92747, -3433
5, 16384, 208594, 201723, -6871
5, 32768, 450123, 436456, -13667
5, 65536, 965604, 938455, -27149
5, 131072, 2062763, 2007877, -54886
5, 262144, 4386995, 4277449, -109546
5, 524288, 9299057, 9080693, -218364
5, 1048576, 19646331, 19207889, -438442
5, 2097152, 41389279, 40514856, -874423
5, 4194304, 86970681, 85221994, -1748687
5, 8388608, 182329842, 178834694, -3495148
5, 16777216, 381438541, 374445252, -6993289
