V,Array with Adjacency Matrix Number of Comparisons,MinHeap with Adjacency List Number of Comparisons,Difference (array - heap)
10,100,39,61
15,225,105,120
20,400,216,184
25,625,302,323
30,900,491,409
35,1225,700,525
40,1600,1017,583
45,2025,1250,775
50,2500,1632,868
55,3025,2194,831
60,3600,2716,884
65,4225,2901,1324
70,4900,3826,1074
75,5625,4199,1426
80,6400,4791,1609
85,7225,5866,1359
90,8100,6623,1477
95,9025,8246,779
100,10000,7851,2149
105,11025,8839,2186
110,12100,10288,1812
115,13225,10831,2394
120,14400,13422,978
125,15625,13391,2234
130,16900,14203,2697
135,18225,16275,1950
140,19600,15542,4058
145,21025,17503,3522
150,22500,21038,1462
155,24025,20434,3591
160,25600,22914,2686
165,27225,22679,4546
170,28900,26415,2485
175,30625,26741,3884
180,32400,29536,2864
185,34225,32798,1427
190,36100,33200,2900
195,38025,34493,3532
200,40000,36187,3813
